Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0402,4,12p,C76948
"C10, C12, C13, C16, C21, C22, C23, C25, C28, C29, C7",0402,11,.1u,C77020
"C11, C17, C24",0603,3,1u,C85862
"C14, C15, C26, C27, C8, C9",0603,6,4.7u,C19666
C18,0402,1,100p,C77177
"C19, C20",0603,2,2.2u,C415535
C5,0402,1,0.5p,C76912
C6,0402,1,0.8p,C88902
"D1, D4",D_SMC,2,SS34C,C13763
D2,0805,1,LED,C965817
D3,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI,C7423117
D5,0402,1,D_TVS,C48260
"F1, F2",1210,2,Fuse,C20806
J1,SAMTEC_FTSH-105-01-F-DV-P-TR,1,FTSH-105-01-F-DV-P-TR,C2932107
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,C2874568
J3,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03,C92159
J4,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Conn_01x04,C495539
J6,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,C131337
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,C52016392
L1,0402,1,4.7n,C412337
L2,0402,1,2.2nH,C162540
MK1,Knowles_LGA-5_3.5x2.65mm,1,MMICT390200012,C3171752
"Q1, Q2",TSOT-23,2,Q_NMOS_GSD,C260927
Q3,SOT-23,1,DMG2301L,C102619
"R1, R2",0603,2,5.1k,C122969
"R10, R11, R12, R14",0603,4,10k,C98220
"R13, R7, R8, R9",0603,4,100k,C14675
R3,0603,1,220,C107696
"R4, R5",0603,2,2k,C105576
R6,0603,1,470,C114669
SW1,Hotswap_Kailh_MX_Top,1,SW_Push,C41430893
U1,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,C190794
U2,SOT-23-5,1,~,C5881307
U3,SOT-23-5,1,MCP73831-2-OT,C424093
U4,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,1,MAX17048,C2682616
U5,WSON-8-1EP_4x4mm_P0.8mm_EP1.98x3mm,1,MX25R6435FZAIL0,C2802847
U6,SOT-23-5,1,AP22814AW5,C2680321
U7,LGA14-L_2P59X3P1X0P5_STM,1,LSM6DSVTR,C17496470
U8,TO-252-3_TabPin2,1,LD39150DT33,C155559
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,C341819
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,C97605
