Designator,Mid X,Mid Y,Rotation,Layer
AE1,106.37,-103.7,270.0,top
C1,95.75,-94.23,90.0,top
C10,90.9,-133.0,270.0,top
C11,83.725,-95.5,180.0,top
C12,90.75,-94.77,90.0,top
C13,92.75,-105.73,270.0,top
C14,83.725,-105.25,180.0,top
C15,87.5,-106.25,270.0,top
C16,84.3,-96.75,0.0,top
C17,87.5,-94.25,270.0,top
C18,95.27,-96.25,180.0,top
C19,95.975,-126.78,0.0,top
C2,91.75,-94.75,270.0,top
C20,94.65,-117.355,0.0,top
C21,97.945,-91.075,270.0,top
C22,95.425,-91.595,0.0,top
C23,76.55,-98.95,90.0,top
C24,82.0,-109.0,0.0,top
C25,74.55,-91.4,90.0,top
C26,86.0,-106.25,270.0,top
C27,83.725,-103.75,180.0,top
C28,90.0,-105.77,270.0,top
C29,91.5825,-111.0,0.0,top
C3,82.3,-97.93,270.0,top
C4,84.3,-101.75,180.0,top
C5,97.75,-98.5,90.0,top
C6,94.75,-98.5,90.0,top
C7,89.0,-142.02,270.0,top
C8,102.8875,-127.585,270.0,top
C9,99.5,-125.25,0.0,top
D1,99.04,-139.4,270.0,top
D2,102.35,-131.11,0.0,top
D3,73.0,-99.33,0.0,top
D4,83.6,-128.85,180.0,top
D5,78.525,-141.25,180.0,top
F1,100.5,-146.27,0.0,top
F2,78.04,-137.9,90.0,top
J1,97.46,-112.535,0.0,top
J2,74.29,-146.75,0.0,top
J3,77.46,-88.0,90.0,top
J4,89.0,-87.425,0.0,top
J5,100.635,-97.25,0.0,top
J6,105.75,-144.77,90.0,top
L1,96.235,-99.0,180.0,top
MK1,73.6625,-94.482,0.0,top
Q1,89.25,-137.0,270.0,top
Q2,93.5,-137.05,270.0,top
Q3,91.1,-128.5375,90.0,top
R1,72.85,-140.45,90.0,top
R10,75.925,-109.0,0.0,top
R11,78.5,-97.925,270.0,top
R12,80.25,-97.925,270.0,top
R13,79.0,-109.0,180.0,top
R14,96.8,-87.15,180.0,top
R2,75.54,-140.425,90.0,top
R3,86.5,-141.75,180.0,top
R4,87.825,-140.0,0.0,top
R5,96.225,-128.55,180.0,top
R6,98.7375,-131.11,180.0,top
R7,101.6,-133.5,180.0,top
R8,98.275,-133.5,180.0,top
R9,84.25,-133.75,0.0,top
SW1,77.75,-117.73,90.0,top
U1,89.75,-100.25,0.0,top
U2,91.75,-141.5,180.0,top
U3,100.0,-127.81,0.0,top
U4,93.0125,-132.75,0.0,top
U5,88.0,-112.4,0.0,top
U6,79.6125,-92.0375,180.0,top
U7,95.500001,-89.5271,0.0,top
U8,88.835,-121.825,180.0,top
Y1,93.8,-94.2,0.0,top
Y2,84.05,-99.25,270.0,top
